0,226,127
4,226,131
5,232,135
8,232,131
11,233,125
14,234,118
16,237,110
17,239,102
19,241,94
25,245,77
27,246,71
28,248,65
30,248,60
32,249,56
33,250,52
34,250,49
36,251,46
37,251,43
38,252,41
39,252,39
40,253,37
41,253,35
42,253,33
42,253,31
43,253,30
43,253,28
44,253,28
44,253,26
44,253,25
44,253,24
45,253,24
45,252,23
45,252,22
45,252,21
45,251,21
45,250,20
45,250,19
45,249,18
46,249,17
46,248,15
47,248,14
47,247,12
48,247,11
49,246,9
50,245,8
51,244,7
53,243,6
54,242,4
56,241,3
59,241,2
61,241,1
64,240,0
67,240,0
71,240,0
74,239,1
77,239,2
83,237,4
86,243,1
92,241,3
95,240,2
99,241,2
104,241,2
108,241,4
112,240,7
117,240,9
122,241,11
127,243,14
133,244,17
138,246,19
143,246,23
148,246,26
154,247,29
159,247,33
163,247,37
168,247,42
172,246,45
174,243,46
179,251,53
186,252,60
189,253,66
191,252,74
193,255,83
196,252,91
199,249,98
201,247,104
202,245,111
204,244,116
206,243,122
208,241,128
210,240,133
212,239,138
214,237,145
215,237,153
215,235,160
216,234,166
217,234,173
217,233,179
218,233,185
218,232,188
219,231,192
220,231,196
221,231,199
222,231,203
224,231,207
226,232,211
228,232,215
230,233,218
233,235,227
236,236,232
238,236,236
239,237,239
241,237,242
243,238,246
244,238,248
246,238,250
248,239,251
249,239,253
251,239,255
253,237,255
254,235,242
254,235,240
253,237,239
255,229,239
250,231,238
245,228,230
241,226,224
234,223,219
228,220,211
221,216,204
215,213,198
209,211,194
204,209,190
202,209,190
